SALA 206  Prédio do CCT - 1o. Semestre 2023,,,,,,
Capacidade: 40 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Corrosão e Proteção dos,Cálculo Diferencial e Integral III Prof. Oscar,Matemática Aplicada à,Cálculo Diferencial e Integral III Prof. Oscar,Mineralogia das argilas Prof. Gustavo,
09:00 - 10:00,,,,,,
10:00 - 11:00,Materiais Profa. Elaine,Programação Profa. Annabell,Engenharia Profa. Vânia,Organização de computadores Profa. Sânya,Modelos Constitutivos Profs. Aldo e Saboya,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,Física I Prof. Marcelo Souza,,Física I Prof. Marcelo Souza,Int. processos Químicos... Profa. Cristina,Organização das Industrias,
15:00 - 16:00,,,,,,
16:00 - 17:00,,,Int. processos,,,
17:00 - 18:00,,,Profa. Cristina,,,
18:00 - 19:00,Física Matemática Prof. Juraci,Cálculo III Prof. Rafael,Física Matemática Prof. Juraci,Cálculo III Prof. Rafael,Didática,Didática
19:00 - 20:00,,,,,,
20:00 - 21:00,Seminário Supervisionado I,Álgebra Linear Prof. Lucas,,Álgebra Linear Prof. Lucas,Historia da Educação,Historia da Educação
21:00 - 22:00,,,,,,
